Account,branchCode,locationName,Address,agentId
ADH150029,1,FCMB - #001 - LAGOS - HEAD OFFICE BRANCH,PRIMROSE TOWER 17A,652825
ADH150030,15,FCMB - #015 - LAGOS  - IPONRI CASH CENTR,SHOP 529.531 IPONRI SHOPPING COMPLEX,654010
ADH150041,32,FCMB - #032 - LAGOS ISLAND - OKE-ARIN BR,5A DADDY ALAJA STREET OKE- ARIN,654026
ADH150052,34,FCMB - #034 - AJAH - AJAH BRANCH,KM 23 LEKKI-EPE EXPRESSWAY ,654028
ADH150063,39,FCMB - #039 - LAGOS ISLAND - BROAD STREE,BANUSO HOUSE 88.89. BROAD STREET ,654033
ADH150085,37,FCMB - #037 - LAGOS ISLAND - IDUMOTA BRA,22 IDOLUWO STREET IDUMOTA,654031
ADH150096,10,FCMB - #010 - LAGOS ISLAND - IDUMAGBO BR,34 IDUMAGBO AVENUE ,654005
ADH150117,69,FCMB - #069 - VICTORIA ISLAND  - SANUSI,17 SANUSI FAFUNWA STREET,654063
ADH150128,23,FCMB - #023 - VICTORIA ISLAND  - ADEOLA,"11B, ADEOLA  ODEKU STREET",654018
ADH150140,26,FCMB - #026 - ALABA - ALABA BRANCH,"OBOSI  PLAZA, A-LINE, ALABA INTL MKT",654020
ADH150151,66,FCMB - #066 - OJO - OJO BRANCH,148A OLOJO DRIVE ,654060